title,vendedor,precio,ubicacion_pais,ubicacion_ciudad,horometro,año_fabricacion,link
TORRE ILUMINACION STORIKE  4VA4000,EQUIPO MARKETPLACE,6100,perú,lima,N/A,2024,https://www.be-market.com/tiendaonline/webapp/detalle/torre-iluminacion/148523
COMPRESOR ATLAS COPCO  CPS 5.0 Kd,EQUIPO MARKETPLACE,11000,perú,lima,1000,2019,https://www.be-market.com/tiendaonline/webapp/detalle/compresor/147962
GENERADOR CUMMINS  C100D6,EQUIPO MARKETPLACE,11050,perú,lima,5327,2018,https://www.be-market.com/tiendaonline/webapp/detalle/generador/148427
TRACTOR CATERPILLAR  525 B,EQUIPO MARKETPLACE,46610,perú,puerto maldonado,13000,2004,https://www.be-market.com/tiendaonline/webapp/detalle/tractor/147959
MARTILLO DOOSAN  DBX260,EQUIPO MARKETPLACE,11000,perú,lima,N/A,2011,https://www.be-market.com/tiendaonline/webapp/detalle/martillo/151911
CARGADOR JCB  467zx,EQUIPO MARKETPLACE,135000,perú,lima,7885,2014,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/148025
RODILLO HAMM  3520 HT,SK RENTAL,121824,perú,lima,4613,2020,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/148237
GENERADOR FAW  EH23600,EQUIPO MARKETPLACE,5780,perú,lima,N/A,2023,https://www.be-market.com/tiendaonline/webapp/detalle/generador/126499
EXCAVADORA VOLVO  EC220DL M,SK RENTAL,128529,perú,arequipa,4572,2020,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/148137
CAMION SERVICIO JAC  HFC1040K,EQUIPO MARKETPLACE,11570,perú,lima,N/A,2016,https://www.be-market.com/tiendaonline/webapp/detalle/camion-servicio/126524
COMPRESOR INGERSOLL-RAND  XP375WCU,EQUIPO MARKETPLACE,22500,perú,lima,1900,2020,https://www.be-market.com/tiendaonline/webapp/detalle/compresor/151935
CARGADOR JCB  455zx,EQUIPO MARKETPLACE,80000,perú,lima,8141,2017,https://www.be-market.com/tiendaonline/webapp/detalle/cargador/148023
EXCAVADORA VOLVO  EC350DL,SK RENTAL,173325,perú,lima,6783,2021,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/114896
MARTILLO DAEMO  B360,EQUIPO MARKETPLACE,29000,perú,lima,N/A,2019,https://www.be-market.com/tiendaonline/webapp/detalle/martillo/24983
PLATAFORMA ARTICULADA HAULOTTE  HA41PXNT,SK RENTAL,83824,perú,arequipa,7508,2014,https://www.be-market.com/tiendaonline/webapp/detalle/plataforma-articulada/25161
RODILLO CATERPILLAR  CS533E,EQUIPO MARKETPLACE,37000,perú,lima,5500,2009,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/46201
EXCAVADORA VOLVO  EC350DL,SK RENTAL,167088,perú,lima,8037,2020,https://www.be-market.com/tiendaonline/webapp/detalle/excavadora/52940
RODILLO BOMAG  BW 219 DH-5,SK RENTAL,106176,perú,lima,6284,2019,https://www.be-market.com/tiendaonline/webapp/detalle/rodillo/33642
CAMION VOLQUETE SINOTRUK  A7 420,EQUIPO MARKETPLACE,56800,perú,lima,4872,2021,https://www.be-market.com/tiendaonline/webapp/detalle/camion-volquete/148035
MONTACARGAS HYSTER  H50CT,EQUIPO MARKETPLACE,11864,perú,arequipa metropolitana,9440,2012,https://www.be-market.com/tiendaonline/webapp/detalle/montacargas/48154
CAMION SERVICIO TEREX  RT 230,EQUIPO MARKETPLACE,38136,perú,lima,11910,2000,https://www.be-market.com/tiendaonline/webapp/detalle/camion-servicio/147889
MANIPULADOR MANITOU  MT1030 S,EQUIPO MARKETPLACE,19000,perú,lima,11726,2008,https://www.be-market.com/tiendaonline/webapp/detalle/manipulador/149181
GENERADOR CUMMINS  MH-44Ci,EQUIPO MARKETPLACE,13027,perú,lima,N/A,2023,https://www.be-market.com/tiendaonline/webapp/detalle/generador/148287
